ID,itemCode,batchSize,weight,stageId,pmCode,qty,uom,loss,netQty,entdate,pmName,stageName,stat,isDeleted,isMigrated
163,FMV001,100,,,PMB003,3333,NOS,10,3666.3,,BARONET -Z SYRUP 200 ML PRINTED LABLE,,0,FALSE,TRUE
164,FMV001,100,,,PM2002,3333,NOS,2,3399.66,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
165,FMV001,100,,,PM2001,17,NOS,0,17,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
166,FMV001,100,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
167,FMV001,100,,,PMM012,3333,NOS,2,3399.66,,MUSSARING CAP 25 MM,,0,FALSE,TRUE
175,FMH001,50000,,,PMP002,13.7,KGS,5,14.385,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
176,FMH001,50000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
177,FMH001,50000,,,PMH002,500,NOS,2,510,,HILTON TABLET BOX,,0,FALSE,TRUE
178,FMH001,50000,,,PMH001,3.9,KGS,0,3.9,,HILTON TABLET FOIL,,0,FALSE,TRUE
182,FML003,30000,,,PML003,1.8,KGS,0,1.8,,LIPOLEX-M TABLET FOIL,,0,FALSE,TRUE
183,FML003,30000,,,PM 001,300,NOS,2,306,,LIPOLEX-M TABLET BOX,,0,FALSE,TRUE
184,FML003,30000,,,PMP001,7.5,KGS,0,7.5,,PLAIN ALU FOIL ALU/ALU 105 MM,,0,FALSE,TRUE
185,FML003,30000,,,PM2001,2,NOS,0,2,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
186,FME001,5000,,,PME001,250,NOS,2,255,,ECCO PRO Z SACHET BOX,,0,FALSE,TRUE
187,FME001,5000,,,PM 002,11,KGS,0,11,,ECCO PRO Z SACHET FOIL,,0,FALSE,TRUE
188,FME001,5000,,,PM2001,5,NOS,0,5,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
189,FME001,5000,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
240,FMI002,30000,,,PMI003,1000,NOS,5,1050,,IMMUNO UP TABLET LABLE,,0,FALSE,TRUE
241,FMI002,30000,,,PMD001,1000,NOS,1,1010,,DABBY 60 TABLET 12/32,,0,FALSE,TRUE
242,FMI002,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
243,FMI002,30000,,,PMA005,1000,NOS,2,1020,,ALLUMINIUM SILER FOR DABBY,,0,FALSE,TRUE
244,FMH002,30000,,,PMH003,1000,NOS,5,1050,,HILFRESH-C TABLET LABLE,,0,FALSE,TRUE
245,FMH002,30000,,,PMD001,1000,NOS,1,1010,,DABBY 60 TABLET 12/32,,0,FALSE,TRUE
246,FMH002,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
247,FMH002,30000,,,PMA005,1000,NOS,2,1020,,ALLUMINIUM SILER FOR DABBY,,0,FALSE,TRUE
248,FMM005,30000,,,PMM015,1000,NOS,5,1050,,MUNATE TABLET LABLE,,0,FALSE,TRUE
249,FMM005,30000,,,PMD001,1000,NOS,1,1010,,DABBY 60 TABLET 12/32,,0,FALSE,TRUE
250,FMM005,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
251,FMM005,30000,,,PMA005,1000,NOS,2,1020,,ALLUMINIUM SILER FOR DABBY,,0,FALSE,TRUE
252,FMJ001,30000,,,PMJ001,1000,NOS,5,1050,,JP-VIT-C TABLET LABLE,,0,FALSE,TRUE
253,FMJ001,30000,,,PMD001,1000,NOS,1,1010,,DABBY 60 TABLET 12/32,,0,FALSE,TRUE
254,FMJ001,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
255,FMJ001,30000,,,PMA005,1000,NOS,2,1020,,ALLUMINIUM SILER FOR DABBY,,0,FALSE,TRUE
263,FMC005,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
264,FMC005,50000,,,PMC008,4,KGS,5,4.2,,CARBNET-XT CAPSULE PRINTED FOIL,,0,FALSE,TRUE
265,FMC005,50000,,,PMC009,500,NOS,2,510,,CARBNET-XT CAPSULE PRINTED BOX,,0,FALSE,TRUE
266,FMM006,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
267,FMM006,50000,,,PMM002,4,KGS,5,4.2,,MICOBA-PG CAPSULE PRINTED FOIL,,0,FALSE,TRUE
268,FMM006,50000,,,PMM007,500,NOS,2,510,,MICOBA-PG CAPSULE PRINTED BOX,,0,FALSE,TRUE
274,FMI004,50000,,,PMP001,12.5,KGS,0,12.5,,PLAIN ALU FOIL ALU/ALU 105 MM,,0,FALSE,TRUE
275,FMI004,50000,,,PMI008,3,KGS,0,3,,IRONET -Z TABLET FOIL,,0,FALSE,TRUE
276,FMI004,50000,,,PMI007,250,NOS,2,255,,IRONET-Z TABLET BOX,,0,FALSE,TRUE
277,FMI004,50000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
278,FMI004,50000,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
279,FMT001,50000,,,PMP001,12.5,KGS,0,12.5,,PLAIN ALU FOIL ALU/ALU 105 MM,,0,FALSE,TRUE
280,FMT001,50000,,,PMM004,3,KGS,0,3,,MULTION TABLET PRINTED FOIL,,0,FALSE,TRUE
281,FMT001,50000,,,PMM008,250,NOS,2,255,,MULTION TABLET PRINTED BOX,,0,FALSE,TRUE
282,FMT001,50000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
283,FMT001,50000,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
284,FMM001,50000,,,PMP001,12.5,KGS,0,12.5,,PLAIN ALU FOIL ALU/ALU 105 MM,,0,FALSE,TRUE
285,FMM001,50000,,,PMM003,3,KGS,0,3,,MACLIPO -D TABLET PRINTED FOIL,,0,FALSE,TRUE
286,FMM001,50000,,,PMM005,250,NOS,2,255,,MACLIPO -D TABLET PRINTED BOX,,0,FALSE,TRUE
287,FMM001,50000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
288,FMM001,50000,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
295,FML004,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
296,FML004,50000,,,PML004,4,KGS,5,4.2,,LYCOMED CAPSULE FOIL,,0,FALSE,TRUE
297,FML004,50000,,,PML005,500,NOS,2,510,,LYCOMED CAPSULE BOX,,0,FALSE,TRUE
298,FML004,50000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
299,FMM008,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
300,FMM008,50000,,,PMM017,4,KGS,5,4.2,,MULTYX CAPSULE FOIL,,0,FALSE,TRUE
301,FMM008,50000,,,PMM016,500,NOS,2,510,,MULTYX CAPSULE BOX,,0,FALSE,TRUE
302,FMM008,50000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
315,FMM007,200,,,PMM018,1000,NOS,2,1020,,MILK PRO POWDER PRINTED TIN,,0,FALSE,TRUE
316,FMM007,200,,,PM2001,20,NOS,0,20,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
317,FMM007,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
334,FMS003,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
335,FMS003,50000,,,PMS004,4,KGS,5,4.2,,STAMIN STAR B12 TABLET FOIL,,0,FALSE,TRUE
336,FMS003,50000,,,PMS005,5000,NOS,2,5100,,STAMIN STAR B12 TABLET BOX 1X10 TAB,,0,FALSE,TRUE
337,FMS003,50000,,,PMS006,1666,NOS,2,1699.32,,STAMIN STAR B12 TABLET BOX 3X10 TAB,,0,FALSE,TRUE
338,FMS003,50000,,,PM2001,8,NOS,0,8,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
351,FMS004,200,,,PMS003,1000,NOS,2,1020,,STAMIN STAR PROTEIN POWDER TIN,,0,FALSE,TRUE
352,FMS004,200,,,PM2001,20,NOS,0,20,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
353,FMS004,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
354,FMH003,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
355,FMH003,50000,,,PMH005,4,KGS,5,4.2,,HIGLO-XT TABLET FOIL,,0,FALSE,TRUE
356,FMH003,50000,,,PMH004,500,NOS,2,510,,HIGLO-XT TABLET BOX,,0,FALSE,TRUE
357,FMH003,50000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
373,FML005,500,,,PML006,1666,NOS,1,1682.66,,LYCOMED SYRUP PRINED BOX,,0,FALSE,TRUE
374,FML005,500,,,PML007,1666,NOS,3,1715.98,,LYCOMED SYRUP PRINTED LABLE,,0,FALSE,TRUE
375,FML005,500,,,PM3001,1666,NOS,2,1699.32,,300 ML BRUT BOTTLE,,0,FALSE,TRUE
376,FML005,500,,,PMC022,34,NOS,0,34,,CORRUGATED BOX 300ML X 50 BOTTLE,,0,FALSE,TRUE
377,FML005,500,,,PMP005,1666,NOS,3,1715.98,,PP CAP PLAIN 25 MM,,0,FALSE,TRUE
384,FMC012,30000,,,PMC023,1000,NOS,5,1050,,COVIMMUNE TABLET LABLE,,0,FALSE,TRUE
385,FMC012,30000,,,PM5001,1000,NOS,1,1010,,50GRM CP BOTTLE,,0,FALSE,TRUE
386,FMC012,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
387,FMC012,30000,,,PMC014,1000,NOS,2,1020,,CP CAP,,0,FALSE,TRUE
388,FMC012,30000,,,PMC016,1000,NOS,2,1020,,CP WAD,,0,FALSE,TRUE
389,FMC011,30000,,,PMC021,1000,NOS,5,1050,,COWIN PLUS TABLET LABLE,,0,FALSE,TRUE
390,FMC011,30000,,,PM5001,1000,NOS,1,1010,,50GRM CP BOTTLE,,0,FALSE,TRUE
391,FMC011,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
392,FMC011,30000,,,PMC014,1000,NOS,2,1020,,CP CAP,,0,FALSE,TRUE
393,FMC011,30000,,,PMC016,1000,NOS,2,1020,,CP WAD,,0,FALSE,TRUE
394,FMC008,30000,,,PMC017,1000,NOS,5,1050,,COWIN TABLET LABLE,,0,FALSE,TRUE
395,FMC008,30000,,,PM5001,1000,NOS,1,1010,,50GRM CP BOTTLE,,0,FALSE,TRUE
396,FMC008,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
397,FMC008,30000,,,PMC014,1000,NOS,2,1020,,CP CAP,,0,FALSE,TRUE
398,FMC008,30000,,,PMC016,1000,NOS,2,1020,,CP WAD,,0,FALSE,TRUE
399,FMI003,30000,,,PMI005,1000,NOS,5,1050,,IMMUVIT TABLET LABLE,,0,FALSE,TRUE
400,FMI003,30000,,,PM5001,1000,NOS,1,1010,,50GRM CP BOTTLE,,0,FALSE,TRUE
401,FMI003,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
402,FMI003,30000,,,PMC014,1000,NOS,2,1020,,CP CAP,,0,FALSE,TRUE
403,FMI003,30000,,,PMC016,1000,NOS,2,1020,,CP WAD,,0,FALSE,TRUE
404,FMW001,30000,,,PMW001,1000,NOS,5,1050,,WOODCEE TABLET LABLE,,0,FALSE,TRUE
405,FMW001,30000,,,PM5001,1000,NOS,1,1010,,50GRM CP BOTTLE,,0,FALSE,TRUE
406,FMW001,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
407,FMW001,30000,,,PMC014,1000,NOS,2,1020,,CP CAP,,0,FALSE,TRUE
408,FMW001,30000,,,PMC016,1000,NOS,2,1020,,CP WAD,,0,FALSE,TRUE
409,FMS001,100,,,PM1002,1000,NOS,1,1010,,100 ML AMBER BOTTLE,,0,FALSE,TRUE
410,FMS001,100,,,PMS002,1000,NOS,1,1010,,SYZIN SYRUP BOX 100 ML,,0,FALSE,TRUE
411,FMS001,100,,,PMS001,1000,NOS,3,1030,,SYZIN SYRUP LABLE 100 ML,,0,FALSE,TRUE
412,FMS001,100,,,PMP005,1000,NOS,2,1020,,PP CAP PLAIN 25 MM,,0,FALSE,TRUE
413,FMS001,100,,,PMC024,9.26,NOS,0,9.26,,CORRUGATED BOX 100MLX108 BOTTLE,,0,FALSE,TRUE
414,FMS001,100,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
415,FMS001,100,,,PMM012,1000,NOS,0,1000,,MUSSARING CAP 25 MM,,0,FALSE,TRUE
420,FMV002,10000,,,PM1005,100,NOS,1,101,,100 TABLET HDP BOTTLE,,0,FALSE,TRUE
421,FMV002,10000,,,PMV001,100,NOS,2,102,,VITAMIN C+ ZINC TAB.LABLE,,0,FALSE,TRUE
422,FMV002,10000,,,PMC022,1,NOS,0,1,,CORRUGATED BOX 300ML X 50 BOTTLE,,0,FALSE,TRUE
423,FMO001,12,,,PMO002,100,NOS,0,100,,OMEGA PLUS BOX,,0,FALSE,TRUE
424,FMO001,12,,,PMO001,100,NOS,2,102,,OMEGA PLUS LABLE,,0,FALSE,TRUE
425,FMO001,12,,,PM1004,100,NOS,1,101,,150 ML AMBER PET BOTTLE,,0,FALSE,TRUE
426,FMO001,12,,,PMC024,1,NOS,0,1,,CORRUGATED BOX 100MLX108 BOTTLE,,0,FALSE,TRUE
427,FMS005,60000,,,PMS008,1000,NOS,2,1020,,STAMIN STAR BIOTIN TABLET BOX,,0,FALSE,TRUE
428,FMS005,60000,,,PMS007,1000,NOS,5,1050,,STAMIN STAR BIOTIN TABLET LABLE,,0,FALSE,TRUE
429,FMS005,60000,,,PM1006,1000,NOS,2,1020,,150 ML AMBER TABLET BOTTLE,,0,FALSE,TRUE
430,FMS005,60000,,,PM2001,5,NOS,0,5,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
431,FMS006,60000,,,PMS010,1000,NOS,2,1020,,STAMIN STAR COLLAGEN TABLET BOX,,0,FALSE,TRUE
432,FMS006,60000,,,PMS009,1000,NOS,5,1050,,STAMIN STAR COLLAGEN TABLET LABLE,,0,FALSE,TRUE
433,FMS006,60000,,,PM1006,1000,NOS,2,1020,,150 ML AMBER TABLET BOTTLE,,0,FALSE,TRUE
434,FMS006,60000,,,PM2001,5,NOS,0,5,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
435,FMI006,50000,,,PMI012,500,NOS,2,510,,IMMUNO-C PLUS TABLET BOX,,0,FALSE,TRUE
436,FMI006,50000,,,PMI011,8.5,KGS,0,8.5,,IMMUNO-C PLUS TABLET FOIL,,0,FALSE,TRUE
437,FMI006,50000,,,PMA008,8.5,KGS,0,8.5,,ALLUMINIUM FOIL 120 MM,,0,FALSE,TRUE
438,FMI006,50000,,,PMC024,5,NOS,0,5,,CORRUGATED BOX 100MLX108 BOTTLE,,0,FALSE,TRUE
446,FMH005,30000,,,PMH007,1000,NOS,5,1050,,HILFRESH-CD TABLET LABLE,,0,FALSE,TRUE
447,FMH005,30000,,,PM5001,1000,NOS,1,1010,,50GRM CP BOTTLE,,0,FALSE,TRUE
448,FMH005,30000,,,PM2001,4,NOS,0,4,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
449,FMH005,30000,,,PMC014,1000,NOS,2,1020,,CP CAP,,0,FALSE,TRUE
450,FMH005,30000,,,PMC016,1000,NOS,2,1020,,CP WAD,,0,FALSE,TRUE
490,FMS010,60000,,,PMS012,2000,NOS,5,2100,,SVL-COLLAGEN TABLET LABLE,,0,FALSE,TRUE
491,FMS010,60000,,,PMS014,2000,NOS,2,2040,,SVL HDP AMBER BOTTLE 30 TABLET,,0,FALSE,TRUE
492,FMS010,60000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
493,FMS008,60000,,,PMS013,2000,NOS,5,2100,,SVL-B12 TABLET LABLE,,0,FALSE,TRUE
494,FMS008,60000,,,PMS014,2000,NOS,2,2040,,SVL HDP AMBER BOTTLE 30 TABLET,,0,FALSE,TRUE
495,FMS008,60000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
496,FMS011,60000,,,PMS011,2000,NOS,5,2100,,SVL-BIOTIN TABLET LABLE,,0,FALSE,TRUE
497,FMS011,60000,,,PMS014,2000,NOS,2,2040,,SVL HDP AMBER BOTTLE 30 TABLET,,0,FALSE,TRUE
498,FMS011,60000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
499,FMS009,60000,,,PMC025,2000,NOS,5,2100,,CEE-MAX  TABLET LABLE,,0,FALSE,TRUE
500,FMS009,60000,,,PMS014,2000,NOS,2,2040,,SVL HDP AMBER BOTTLE 30 TABLET,,0,FALSE,TRUE
501,FMS009,60000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
505,FMM009,300,,,PMM021,1500,NOS,2,1530,,MULTI ZE SYRUP BOX,,0,FALSE,TRUE
506,FMM009,300,,,PMM020,1500,NOS,5,1575,,MULTI ZE SYRUP LABLE,,0,FALSE,TRUE
507,FMM009,300,,,PMP005,1500,NOS,2,1530,,PP CAP PLAIN 25 MM,,0,FALSE,TRUE
508,FMM009,300,,,PM2001,21,NOS,0,21,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
509,FMM009,300,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
510,FMM009,300,,,PM2002,1500,NOS,3,1545,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
511,FMP003,200,,,PMP015,1000,NOS,2,1020,,PROTEVL POWDER TIN,,0,FALSE,TRUE
512,FMP003,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
513,FMP003,200,,,PMM019,1000,NOS,1,1010,,MILKY WHITE CAP FOR PROTIN POWDER,,0,FALSE,TRUE
514,FMP003,200,,,PMA002,1000,NOS,1,1010,,ALU. POUCH 200 GM,,0,FALSE,TRUE
515,FMP004,45000,,,PMP017,500,NOS,0,500,,PEAK HEIGHT TABLET DABBY,,0,FALSE,TRUE
516,FMP004,45000,,,PMP016,500,NOS,3,515,,PEAK HEIGHT TABLET LABLE,,0,FALSE,TRUE
517,FMP004,45000,,,PM2001,5,NOS,0,5,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
518,FMF003,18000,,,PMF002,100,NOS,0,100,,FEXIT PLUS CAPSULE DABBY,,0,FALSE,TRUE
519,FMF003,18000,,,PMF003,100,NOS,2,102,,FEXIT PLUS CAPSULE LABLE,,0,FALSE,TRUE
520,FMF003,18000,,,PMS015,100,NOS,2,102,,SILIKA GEL,,0,FALSE,TRUE
521,FMP002,300,,,PMP013,1500,NOS,2,1530,,PICKUP SYRUP BOX,,0,FALSE,TRUE
522,FMP002,300,,,PMP012,1500,NOS,5,1575,,PICKUP SYRUP LABLE,,0,FALSE,TRUE
523,FMP002,300,,,PMP005,1500,NOS,3,1545,,PP CAP PLAIN 25 MM,,0,FALSE,TRUE
524,FMP002,300,,,PMM012,0,NOS,0,0,,MUSSARING CAP 25 MM,,0,FALSE,TRUE
525,FMP002,300,,,PM2001,21,NOS,0,21,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
526,FMP002,300,,,PM2002,1500,NOS,1,1515,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
527,FM1001,100,,,PM1004,667,NOS,1,673.67,,150 ML AMBER PET BOTTLE,,0,FALSE,TRUE
528,FM1001,100,,,PMS002,667,NOS,1,673.67,,SYZIN SYRUP BOX 100 ML,,0,FALSE,TRUE
529,FM1001,100,,,PMS001,667,NOS,3,687.01,,SYZIN SYRUP LABLE 100 ML,,0,FALSE,TRUE
530,FM1001,100,,,PMP005,667,NOS,2,680.34,,PP CAP PLAIN 25 MM,,0,FALSE,TRUE
531,FM1001,100,,,PMC024,9.26,NOS,0,9.26,,CORRUGATED BOX 100MLX108 BOTTLE,,0,FALSE,TRUE
532,FM1001,100,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
