ID,itemCode,batchSize,weight,stageId,pmCode,qty,uom,loss,netQty,entdate,pmName,stageName,stat
250,FMM005,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
251,FMM005,30000,,,PMA005,1000.00,NOS,2.00,1020.00,,ALLUMINIUM SILER FOR DABBY,,0
252,FMJ001,30000,,,PMJ001,1000.00,NOS,5.00,1050.00,,JP-VIT-C TABLET LABLE,,0
253,FMJ001,30000,,,PMD001,1000.00,NOS,1.00,1010.00,,DABBY 60 TABLET 12/32,,0
254,FMJ001,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
255,FMJ001,30000,,,PMA005,1000.00,NOS,2.00,1020.00,,ALLUMINIUM SILER FOR DABBY,,0
263,FMC005,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
264,FMC005,50000,,,PMC008,4.00,KGS,5.00,4.20,,CARBNET-XT CAPSULE PRINTED FOIL,,0
265,FMC005,50000,,,PMC009,500.00,NOS,2.00,510.00,,CARBNET-XT CAPSULE PRINTED BOX,,0
266,FMM006,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
267,FMM006,50000,,,PMM002,4.00,KGS,5.00,4.20,,MICOBA-PG CAPSULE PRINTED FOIL,,0
268,FMM006,50000,,,PMM007,500.00,NOS,2.00,510.00,,MICOBA-PG CAPSULE PRINTED BOX,,0
274,FMI004,50000,,,PMP001,12.50,KGS,0.00,12.50,,PLAIN ALU FOIL ALU/ALU 105 MM,,0
275,FMI004,50000,,,PMI008,3.00,KGS,0.00,3.00,,IRONET -Z TABLET FOIL,,0
276,FMI004,50000,,,PMI007,250.00,NOS,2.00,255.00,,IRONET-Z TABLET BOX,,0
277,FMI004,50000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
278,FMI004,50000,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
279,FMT001,50000,,,PMP001,12.50,KGS,0.00,12.50,,PLAIN ALU FOIL ALU/ALU 105 MM,,0
280,FMT001,50000,,,PMM004,3.00,KGS,0.00,3.00,,MULTION TABLET PRINTED FOIL,,0
281,FMT001,50000,,,PMM008,250.00,NOS,2.00,255.00,,MULTION TABLET PRINTED BOX,,0
282,FMT001,50000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
283,FMT001,50000,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
284,FMM001,50000,,,PMP001,12.50,KGS,0.00,12.50,,PLAIN ALU FOIL ALU/ALU 105 MM,,0
285,FMM001,50000,,,PMM003,3.00,KGS,0.00,3.00,,MACLIPO -D TABLET PRINTED FOIL,,0
286,FMM001,50000,,,PMM005,250.00,NOS,2.00,255.00,,MACLIPO -D TABLET PRINTED BOX,,0
287,FMM001,50000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
288,FMM001,50000,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
295,FML004,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
296,FML004,50000,,,PML004,4.00,KGS,5.00,4.20,,LYCOMED CAPSULE FOIL,,0
297,FML004,50000,,,PML005,500.00,NOS,2.00,510.00,,LYCOMED CAPSULE BOX,,0
298,FML004,50000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
299,FMM008,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
300,FMM008,50000,,,PMM017,4.00,KGS,5.00,4.20,,MULTYX CAPSULE FOIL,,0
301,FMM008,50000,,,PMM016,500.00,NOS,2.00,510.00,,MULTYX CAPSULE BOX,,0
302,FMM008,50000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
315,FMM007,200,,,PMM018,1000.00,NOS,2.00,1020.00,,MILK PRO POWDER PRINTED TIN,,0
316,FMM007,200,,,PM2001,20.00,NOS,0.00,20.00,,CORUGATED BOX 72X200 ML,,0
317,FMM007,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
334,FMS003,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
335,FMS003,50000,,,PMS004,4.00,KGS,5.00,4.20,,STAMIN STAR B12 TABLET FOIL,,0
336,FMS003,50000,,,PMS005,5000.00,NOS,2.00,5100.00,,STAMIN STAR B12 TABLET BOX 1X10 TAB,,0
337,FMS003,50000,,,PMS006,1666.00,NOS,2.00,1699.32,,STAMIN STAR B12 TABLET BOX 3X10 TAB,,0
338,FMS003,50000,,,PM2001,8.00,NOS,0.00,8.00,,CORUGATED BOX 72X200 ML,,0
351,FMS004,200,,,PMS003,1000.00,NOS,2.00,1020.00,,STAMIN STAR PROTEIN POWDER TIN,,0
352,FMS004,200,,,PM2001,20.00,NOS,0.00,20.00,,CORUGATED BOX 72X200 ML,,0
353,FMS004,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
354,FMH003,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
355,FMH003,50000,,,PMH005,4.00,KGS,5.00,4.20,,HIGLO-XT TABLET FOIL,,0
356,FMH003,50000,,,PMH004,500.00,NOS,2.00,510.00,,HIGLO-XT TABLET BOX,,0
357,FMH003,50000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
373,FML005,500,,,PML006,1666.00,NOS,1.00,1682.66,,LYCOMED SYRUP PRINED BOX,,0
374,FML005,500,,,PML007,1666.00,NOS,3.00,1715.98,,LYCOMED SYRUP PRINTED LABLE,,0
375,FML005,500,,,PM3001,1666.00,NOS,2.00,1699.32,,300 ML BRUT BOTTLE,,0
376,FML005,500,,,PMC022,34.00,NOS,0.00,34.00,,CORRUGATED BOX 300ML X 50 BOTTLE,,0
377,FML005,500,,,PMP005,1666.00,NOS,3.00,1715.98,,PP CAP PLAIN 25 MM,,0
384,FMC012,30000,,,PMC023,1000.00,NOS,5.00,1050.00,,COVIMMUNE TABLET LABLE,,0
385,FMC012,30000,,,PM5001,1000.00,NOS,1.00,1010.00,,50GRM CP BOTTLE,,0
386,FMC012,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
387,FMC012,30000,,,PMC014,1000.00,NOS,2.00,1020.00,,CP CAP,,0
388,FMC012,30000,,,PMC016,1000.00,NOS,2.00,1020.00,,CP WAD,,0
389,FMC011,30000,,,PMC021,1000.00,NOS,5.00,1050.00,,COWIN PLUS TABLET LABLE,,0
390,FMC011,30000,,,PM5001,1000.00,NOS,1.00,1010.00,,50GRM CP BOTTLE,,0
391,FMC011,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
392,FMC011,30000,,,PMC014,1000.00,NOS,2.00,1020.00,,CP CAP,,0
393,FMC011,30000,,,PMC016,1000.00,NOS,2.00,1020.00,,CP WAD,,0
394,FMC008,30000,,,PMC017,1000.00,NOS,5.00,1050.00,,COWIN TABLET LABLE,,0
395,FMC008,30000,,,PM5001,1000.00,NOS,1.00,1010.00,,50GRM CP BOTTLE,,0
396,FMC008,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
397,FMC008,30000,,,PMC014,1000.00,NOS,2.00,1020.00,,CP CAP,,0
398,FMC008,30000,,,PMC016,1000.00,NOS,2.00,1020.00,,CP WAD,,0
399,FMI003,30000,,,PMI005,1000.00,NOS,5.00,1050.00,,IMMUVIT TABLET LABLE,,0
400,FMI003,30000,,,PM5001,1000.00,NOS,1.00,1010.00,,50GRM CP BOTTLE,,0
401,FMI003,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
402,FMI003,30000,,,PMC014,1000.00,NOS,2.00,1020.00,,CP CAP,,0
403,FMI003,30000,,,PMC016,1000.00,NOS,2.00,1020.00,,CP WAD,,0
404,FMW001,30000,,,PMW001,1000.00,NOS,5.00,1050.00,,WOODCEE TABLET LABLE,,0
405,FMW001,30000,,,PM5001,1000.00,NOS,1.00,1010.00,,50GRM CP BOTTLE,,0
406,FMW001,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
407,FMW001,30000,,,PMC014,1000.00,NOS,2.00,1020.00,,CP CAP,,0
408,FMW001,30000,,,PMC016,1000.00,NOS,2.00,1020.00,,CP WAD,,0
409,FMS001,100,,,PM1002,1000.00,NOS,1.00,1010.00,,100 ML AMBER BOTTLE,,0
410,FMS001,100,,,PMS002,1000.00,NOS,1.00,1010.00,,SYZIN SYRUP BOX 100 ML,,0
411,FMS001,100,,,PMS001,1000.00,NOS,3.00,1030.00,,SYZIN SYRUP LABLE 100 ML,,0
412,FMS001,100,,,PMP005,1000.00,NOS,2.00,1020.00,,PP CAP PLAIN 25 MM,,0
413,FMS001,100,,,PMC024,9.26,NOS,0.00,9.26,,CORRUGATED BOX 100MLX108 BOTTLE,,0
414,FMS001,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
415,FMS001,100,,,PMM012,1000.00,NOS,0.00,1000.00,,MUSSARING CAP 25 MM,,0
420,FMV002,10000,,,PM1005,100.00,NOS,1.00,101.00,,100 TABLET HDP BOTTLE,,0
421,FMV002,10000,,,PMV001,100.00,NOS,2.00,102.00,,VITAMIN C+ ZINC TAB.LABLE,,0
422,FMV002,10000,,,PMC022,1.00,NOS,0.00,1.00,,CORRUGATED BOX 300ML X 50 BOTTLE,,0
423,FMO001,12,,,PMO002,100.00,NOS,0.00,100.00,,OMEGA PLUS BOX,,0
424,FMO001,12,,,PMO001,100.00,NOS,2.00,102.00,,OMEGA PLUS LABLE,,0
425,FMO001,12,,,PM1004,100.00,NOS,1.00,101.00,,150 ML AMBER PET BOTTLE,,0
426,FMO001,12,,,PMC024,1.00,NOS,0.00,1.00,,CORRUGATED BOX 100MLX108 BOTTLE,,0
427,FMS005,60000,,,PMS008,1000.00,NOS,2.00,1020.00,,STAMIN STAR BIOTIN TABLET BOX,,0
428,FMS005,60000,,,PMS007,1000.00,NOS,5.00,1050.00,,STAMIN STAR BIOTIN TABLET LABLE,,0
429,FMS005,60000,,,PM1006,1000.00,NOS,2.00,1020.00,,150 ML AMBER TABLET BOTTLE,,0
430,FMS005,60000,,,PM2001,5.00,NOS,0.00,5.00,,CORUGATED BOX 72X200 ML,,0
431,FMS006,60000,,,PMS010,1000.00,NOS,2.00,1020.00,,STAMIN STAR COLLAGEN TABLET BOX,,0
432,FMS006,60000,,,PMS009,1000.00,NOS,5.00,1050.00,,STAMIN STAR COLLAGEN TABLET LABLE,,0
433,FMS006,60000,,,PM1006,1000.00,NOS,2.00,1020.00,,150 ML AMBER TABLET BOTTLE,,0
434,FMS006,60000,,,PM2001,5.00,NOS,0.00,5.00,,CORUGATED BOX 72X200 ML,,0
435,FMI006,50000,,,PMI012,500.00,NOS,2.00,510.00,,IMMUNO-C PLUS TABLET BOX,,0
436,FMI006,50000,,,PMI011,8.50,KGS,0.00,8.50,,IMMUNO-C PLUS TABLET FOIL,,0
437,FMI006,50000,,,PMA008,8.50,KGS,0.00,8.50,,ALLUMINIUM FOIL 120 MM,,0
438,FMI006,50000,,,PMC024,5.00,NOS,0.00,5.00,,CORRUGATED BOX 100MLX108 BOTTLE,,0
446,FMH005,30000,,,PMH007,1000.00,NOS,5.00,1050.00,,HILFRESH-CD TABLET LABLE,,0
447,FMH005,30000,,,PM5001,1000.00,NOS,1.00,1010.00,,50GRM CP BOTTLE,,0
448,FMH005,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
449,FMH005,30000,,,PMC014,1000.00,NOS,2.00,1020.00,,CP CAP,,0
450,FMH005,30000,,,PMC016,1000.00,NOS,2.00,1020.00,,CP WAD,,0
471,FMO002,100,,,PM1002,1000.00,NOS,1.00,1010.00,,100 ML AMBER BOTTLE,,0
472,FMO002,100,,,PMO004,1000.00,NOS,1.00,1010.00,,OLNET SYRUP 100 ML BOX,,0
473,FMO002,100,,,PMO003,1000.00,NOS,3.00,1030.00,,OLNET SYRUP 100 ML LABLE,,0
474,FMO002,100,,,PMP006,1000.00,NOS,2.00,1020.00,,PP CAP PRINTED 25 MM BARONET,,0
475,FMO002,100,,,PMC024,9.26,NOS,0.00,9.26,,CORRUGATED BOX 100MLX108 BOTTLE,,0
476,FMO002,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
490,FMS010,60000,,,PMS012,2000.00,NOS,5.00,2100.00,,SVL-COLLAGEN TABLET LABLE,,0
491,FMS010,60000,,,PMS014,2000.00,NOS,2.00,2040.00,,SVL HDP AMBER BOTTLE 30 TABLET,,0
492,FMS010,60000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
493,FMS008,60000,,,PMS013,2000.00,NOS,5.00,2100.00,,SVL-B12 TABLET LABLE,,0
494,FMS008,60000,,,PMS014,2000.00,NOS,2.00,2040.00,,SVL HDP AMBER BOTTLE 30 TABLET,,0
495,FMS008,60000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
496,FMS011,60000,,,PMS011,2000.00,NOS,5.00,2100.00,,SVL-BIOTIN TABLET LABLE,,0
497,FMS011,60000,,,PMS014,2000.00,NOS,2.00,2040.00,,SVL HDP AMBER BOTTLE 30 TABLET,,0
498,FMS011,60000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
499,FMS009,60000,,,PMC025,2000.00,NOS,5.00,2100.00,,CEE-MAX  TABLET LABLE,,0
500,FMS009,60000,,,PMS014,2000.00,NOS,2.00,2040.00,,SVL HDP AMBER BOTTLE 30 TABLET,,0
501,FMS009,60000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
505,FMM009,300,,,PMM021,1500.00,NOS,2.00,1530.00,,MULTI ZE SYRUP BOX,,0
506,FMM009,300,,,PMM020,1500.00,NOS,5.00,1575.00,,MULTI ZE SYRUP LABLE,,0
507,FMM009,300,,,PMP005,1500.00,NOS,2.00,1530.00,,PP CAP PLAIN 25 MM,,0
508,FMM009,300,,,PM2001,21.00,NOS,0.00,21.00,,CORUGATED BOX 72X200 ML,,0
509,FMM009,300,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
510,FMM009,300,,,PM2002,1500.00,NOS,3.00,1545.00,,200 ML BRUT BOTTLE AMBER,,0
511,FMP003,200,,,PMP015,1000.00,NOS,2.00,1020.00,,PROTEVL POWDER TIN,,0
512,FMP003,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
513,FMP003,200,,,PMM019,1000.00,NOS,1.00,1010.00,,MILKY WHITE CAP FOR PROTIN POWDER,,0
514,FMP003,200,,,PMA002,1000.00,NOS,1.00,1010.00,,ALU. POUCH 200 GM,,0
515,FMP004,45000,,,PMP017,500.00,NOS,0.00,500.00,,PEAK HEIGHT TABLET DABBY,,0
516,FMP004,45000,,,PMP016,500.00,NOS,3.00,515.00,,PEAK HEIGHT TABLET LABLE,,0
517,FMP004,45000,,,PM2001,5.00,NOS,0.00,5.00,,CORUGATED BOX 72X200 ML,,0
518,FMF003,18000,,,PMF002,100.00,NOS,0.00,100.00,,FEXIT PLUS CAPSULE DABBY,,0
519,FMF003,18000,,,PMF003,100.00,NOS,2.00,102.00,,FEXIT PLUS CAPSULE LABLE,,0
520,FMF003,18000,,,PMS015,100.00,NOS,2.00,102.00,,SILIKA GEL,,0
521,FMP002,300,,,PMP013,1500.00,NOS,2.00,1530.00,,PICKUP SYRUP BOX,,0
522,FMP002,300,,,PMP012,1500.00,NOS,5.00,1575.00,,PICKUP SYRUP LABLE,,0
523,FMP002,300,,,PMP005,1500.00,NOS,3.00,1545.00,,PP CAP PLAIN 25 MM,,0
524,FMP002,300,,,PMM012,0.00,NOS,0.00,0.00,,MUSSARING CAP 25 MM,,0
525,FMP002,300,,,PM2001,21.00,NOS,0.00,21.00,,CORUGATED BOX 72X200 ML,,0
526,FMP002,300,,,PM2002,1500.00,NOS,1.00,1515.00,,200 ML BRUT BOTTLE AMBER,,0
527,FM1001,100,,,PM1004,667.00,NOS,1.00,673.67,,150 ML AMBER PET BOTTLE,,0
528,FM1001,100,,,PMS002,667.00,NOS,1.00,673.67,,SYZIN SYRUP BOX 100 ML,,0
529,FM1001,100,,,PMS001,667.00,NOS,3.00,687.01,,SYZIN SYRUP LABLE 100 ML,,0
530,FM1001,100,,,PMP005,667.00,NOS,2.00,680.34,,PP CAP PLAIN 25 MM,,0
531,FM1001,100,,,PMC024,9.26,NOS,0.00,9.26,,CORRUGATED BOX 100MLX108 BOTTLE,,0
532,FM1001,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
533,FM1001,100,,,PMM012,667.00,NOS,0.00,667.00,,MUSSARING CAP 25 MM,,0
534,FMB013,100,,,PM1002,1000.00,NOS,1.00,1010.00,,100 ML AMBER PET BOTTLE,,0
535,FMB013,100,,,PMS002,1000.00,NOS,1.00,1010.00,,SYZIN SYRUP BOX 100 ML,,0
536,FMB013,100,,,PMS001,1000.00,NOS,3.00,1030.00,,SYZIN SYRUP LABLE 100 ML,,0
537,FMB013,100,,,PMP005,1000.00,NOS,2.00,1020.00,,PP CAP PLAIN 25 MM,,0
538,FMB013,100,,,PMC024,10.00,NOS,0.00,10.00,,CORRUGATED BOX 100MLX108 BOTTLE,,0
539,FMB013,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
540,FMB013,100,,,PMM012,1000.00,NOS,0.00,1000.00,,MUSSARING CAP 25 MM,,0
541,FMB014,100,,,PM1004,667.00,NOS,1.00,673.67,,150 ML AMBER PET BOTTLE,,0
542,FMB014,100,,,PMS002,667.00,NOS,1.00,673.67,,SYZIN SYRUP BOX 100 ML,,0
543,FMB014,100,,,PMS001,667.00,NOS,3.00,687.01,,SYZIN SYRUP LABLE 100 ML,,0
544,FMB014,100,,,PMP005,667.00,NOS,2.00,680.34,,PP CAP PLAIN 25 MM,,0
545,FMB014,100,,,PMC024,9.26,NOS,0.00,9.26,,CORRUGATED BOX 100MLX108 BOTTLE,,0
546,FMB014,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
